ID Name Ra Dec NumGS Coverage
301 COIN-Gaia_10 68.45842789 40.49964235 2 0.9132
302 COIN-Gaia_11 68.14971042 39.53324453 0 0.0
303 COIN-Gaia_12 79.42008386 41.67985831 2 0.6168
304 COIN-Gaia_13 83.39159281 41.82798701 0 0.0
305 COIN-Gaia_14 77.69354077 39.20290629 2 0.7548
306 COIN-Gaia_15 76.10322514 35.80107117 1 0.5416
307 COIN-Gaia_16 80.1697787 37.44458742 0 0.0
308 COIN-Gaia_18 78.40348085 35.48011987 0 0.0
309 COIN-Gaia_19 82.19135607 34.3361242 0 0.0
310 COIN-Gaia_20 78.63596867 31.72005005 0 0.0
311 COIN-Gaia_21 84.75457229 28.43665702 0 0.0
312 COIN-Gaia_23 87.43029229 27.01323423 2 0.6912
313 COIN-Gaia_24 90.72366108 23.16394984 1 0.588
314 COIN-Gaia_25 91.66149749 20.45690363 1 0.4876
315 COIN-Gaia_26 83.77343755 15.70671447 1 0.4876
316 COIN-Gaia_28 96.33089544 11.1632653 2 0.7576
317 COIN-Gaia_29 15.57498846 63.65125431 2 0.684
318 COIN-Gaia_30 21.17121223 70.57543933 0 0.0
319 COIN-Gaia_31 21.29100637 61.14001692 4 0.912
320 COIN-Gaia_32 28.11917282 63.10107552 2 0.6436
321 COIN-Gaia_33 30.30243553 61.47734027 2 0.6576
322 COIN-Gaia_34 31.23390676 61.7806542 0 0.0
323 COIN-Gaia_35 33.46024345 60.03188231 1 0.6404
324 COIN-Gaia_36 36.34109856 59.93511474 0 0.0
325 COIN-Gaia_37 45.23157951 58.86213481 1 0.65
326 COIN-Gaia_38 51.47055299 51.07592898 0 0.0
327 COIN-Gaia_39 69.58059576 42.97025309 2 0.6676
328 COIN-Gaia_40 81.89162844 33.51469479 0 0.0
329 COIN-Gaia_41 89.82741795 18.98747919 3 0.6976
330 CWNU_2 139.75804478 -65.6491218 0 0.0
331 CWNU_3 33.06700912 64.60367548 0 0.0
332 CWNU_6 230.02401419 -56.19170648 1 0.3148
333 CWNU_7 240.09324097 -59.10420463 5 0.98
334 CWNU_10 95.31755942 18.82700081 1 0.5504
335 CWNU_11 90.91502401 18.27017806 1 0.4936
336 CWNU_14 14.7878635 53.75959024 0 0.0
337 CWNU_15 87.52617216 26.13658603 1 0.4052
338 CWNU_19 228.51367767 -54.53554584 1 0.5148
339 CWNU_23 342.92927732 61.64310186 1 0.3416
340 CWNU_26 93.86759864 13.78485959 2 0.6556
341 CWNU_29 133.3600307 -72.48503362 0 0.0
342 CWNU_32 262.5306408 -38.21613811 4 0.9548
343 CWNU_35 92.96891328 -16.52451555 0 0.0
344 CWNU_37 276.71423827 -12.47995047 5 0.966
345 CWNU_38 13.51059478 55.9650474 0 0.0
346 CWNU_39 92.74019925 23.43399518 2 0.5692
347 CWNU_41 225.51221467 -71.03102814 0 0.0
348 CWNU_42 318.27288367 46.08254111 3 0.8844
349 CWNU_45 108.09937844 -27.98383277 0 0.0
350 CWNU_47 301.37159686 23.78660023 1 0.4364
351 CWNU_50 264.35228344 -34.79626703 2 0.7076
352 CWNU_52 72.33883295 26.18538988 1 0.3808
353 CWNU_56 345.57605659 69.28686867 1 0.6088
354 CWNU_58 342.159325 60.54127248 0 0.0
355 CWNU_61 153.52044941 -71.04131609 2 0.9004
356 CWNU_62 256.70052807 -41.56450675 1 0.3656
357 CWNU_65 35.33589385 62.56934724 0 0.0
358 CWNU_66 33.35457345 61.46474072 2 0.8156
359 CWNU_70 277.96264307 -10.14528617 3 0.8788
360 CWNU_72 124.37477181 -40.39143231 0 0.0
361 CWNU_73 168.0878232 -57.94159015 3 0.9428
362 CWNU_77 45.33086812 71.07842454 0 0.0
363 CWNU_80 93.95984878 11.89108758 1 0.3664
364 CWNU_85 257.95228013 -41.34274609 7 0.9576
365 CWNU_86 283.35977522 -4.71655023 2 0.8412
366 CWNU_87 22.61250288 59.6329703 0 0.0
367 CWNU_88 131.17282333 -59.95995214 0 0.0
368 CWNU_89 133.14127717 -54.44623563 2 0.7232
369 CWNU_92 352.40248029 62.22891586 0 0.0
370 CWNU_95 223.29731815 -54.1115284 1 0.3124
371 CWNU_96 312.48734605 38.31998859 2 0.6932
372 CWNU_98 275.96302736 -9.88809063 6 0.9976
373 CWNU_101 278.87334683 -9.78345735 4 0.9284
374 CWNU_102 128.77454787 -36.57483129 2 0.684
375 CWNU_105 58.95697512 38.46600896 0 0.0
376 CWNU_110 113.87427728 -15.56153406 1 0.4376
377 CWNU_111 28.68583478 67.81335398 0 0.0
378 CWNU_112 302.09333183 33.95245148 0 0.0
379 CWNU_114 29.39027556 63.19830395 0 0.0
380 CWNU_117 341.14843484 57.53000268 3 0.7092
381 CWNU_119 47.45027315 57.93365938 0 0.0
382 CWNU_120 288.89758722 7.31046206 3 0.8508
383 CWNU_121 203.65481642 -66.54883389 0 0.0
384 CWNU_124 349.21023533 64.69409548 1 0.3768
385 CWNU_128 117.69520661 -35.11955948 4 0.9692
386 CWNU_129 117.58989223 -34.35912489 0 0.0
387 CWNU_132 276.48952477 -15.05271234 4 0.89
388 CWNU_133 49.922871 52.68680779 0 0.0
389 CWNU_134 296.25886784 18.99833813 2 0.8604
390 CWNU_135 116.56430629 -52.84209208 2 0.7076
391 CWNU_136 311.21909464 56.90036924 0 0.0
392 CWNU_141 247.93934875 -52.88081719 2 0.8296
393 CWNU_144 332.29413014 50.89679516 5 0.9284
394 CWNU_147 188.75011241 -58.08856056 1 0.4172
395 CWNU_148 358.31874814 57.76520478 1 0.6528
396 CWNU_151 266.47504514 -33.443433 1 0.6784
397 CWNU_152 305.84209404 32.73477191 6 0.9992
398 CWNU_153 302.06443923 23.16364242 3 0.9616
399 CWNU_154 77.94247965 38.10519611 0 0.0
400 CWNU_155 273.46181251 -21.06213951 3 0.81
401 CWNU_158 99.934106 5.23329825 1 0.7
402 CWNU_161 341.24857769 54.69749036 1 0.3756
403 CWNU_162 327.81339454 58.11864452 1 0.5868
404 CWNU_164 136.79404467 -44.31040224 0 0.0
405 CWNU_165 290.08213739 4.33004471 4 0.9316
406 CWNU_168 81.06715704 20.72325039 2 0.7628
407 CWNU_170 259.62928796 -30.94531171 2 0.6868
408 CWNU_172 109.22204034 -1.81070646 1 0.5064
409 CWNU_173 87.04216364 39.26275871 1 0.3628
410 CWNU_174 357.8304054 54.01508419 2 0.5868
411 CWNU_175 188.40652192 -63.51549475 0 0.0
412 CWNU_180 307.55493849 38.17347136 1 0.6984
413 CWNU_181 289.157503 5.81571754 5 0.9556
414 CWNU_182 135.84861877 -43.86964209 1 0.2624
415 CWNU_183 273.08753547 -21.14331974 4 0.9016
416 CWNU_189 95.05375333 -6.44156545 2 0.7928
417 CWNU_193 120.38071111 -31.96934695 9 0.9832
418 CWNU_195 82.97134397 29.07123266 2 0.8092
419 CWNU_201 95.37770062 -10.28274183 0 0.0
420 CWNU_203 10.13205226 66.89237633 2 0.8152
421 CWNU_204 121.07125401 -29.21475772 5 0.9556
422 CWNU_205 93.60769342 2.84589874 2 0.5712
423 CWNU_206 289.61035126 13.19956535 4 0.9432
424 CWNU_207 135.75807309 -46.86333434 0 0.0
425 CWNU_209 337.58158171 56.09865282 0 0.0
426 CWNU_212 120.61845802 -28.86507481 4 0.9644
427 CWNU_215 247.26716278 -45.52108285 2 0.6636
428 CWNU_218 244.90127588 -55.61674688 3 0.8508
429 CWNU_222 101.9934777 -8.0188464 1 0.6468
430 CWNU_224 267.75400936 -38.44730867 5 0.936
431 CWNU_226 111.24094357 -4.92081679 1 0.4328
432 CWNU_229 263.72647786 -43.01598244 3 0.7764
433 CWNU_230 270.13469313 -13.37309446 3 0.6448
434 CWNU_232 92.34633901 -2.99419091 1 0.5872
435 CWNU_236 279.83117219 1.15130489 1 0.2712
436 CWNU_239 98.27958496 2.44583542 0 0.0
437 CWNU_240 102.53816255 0.9565583 1 0.7248
438 CWNU_246 117.14374402 -23.73405289 0 0.0
439 CWNU_249 240.56610008 -54.87313776 3 0.8716
440 CWNU_252 185.39775732 -61.07169588 4 0.9312
441 CWNU_255 86.41221352 33.77651142 3 0.7384
442 CWNU_260 117.49426456 -49.71826688 0 0.0
443 CWNU_263 101.77805271 0.7478931 3 0.8996
444 CWNU_264 149.20039807 -60.52954639 1 0.3924
445 CWNU_265 153.76962775 -54.60047242 3 0.8512
446 CWNU_267 254.37070123 -48.46290808 0 0.0
447 CWNU_268 119.16586974 -31.06106327 1 0.512
448 CWNU_274 105.99649999 -16.88416465 1 0.4664
449 CWNU_275 266.37011918 -40.81569408 2 0.874
450 CWNU_277 192.20960197 -60.57552676 2 0.8528
451 CWNU_279 103.82667738 -2.13190579 3 0.7592
452 CWNU_281 106.03890151 -16.35181209 0 0.0
453 CWNU_282 245.45016858 -53.938664 1 0.7072
454 CWNU_283 113.83149759 -42.88950485 2 0.6204
455 CWNU_284 211.80183321 -61.70368804 3 0.8596
456 CWNU_286 327.73196683 64.01389544 0 0.0
457 CWNU_287 155.2995336 -55.97186833 1 0.6836
458 CWNU_296 277.24818976 -14.23548401 4 0.9004
459 CWNU_299 89.50461392 29.57888974 1 0.7028
460 CWNU_301 125.69838825 -31.61583773 0 0.0
461 CWNU_302 104.6287801 -3.02885571 4 0.8536
462 CWNU_304 251.12883274 -52.98813025 4 0.9408
463 CWNU_311 333.43358295 42.47926755 0 0.0
464 CWNU_312 332.55823623 56.46879353 2 0.8272
465 CWNU_313 295.1379743 -1.99248423 0 0.0
466 CWNU_314 288.15654246 -9.63329176 0 0.0
467 CWNU_317 254.16262667 -39.84789058 2 0.786
468 CWNU_318 219.08770016 -61.91192113 3 0.9396
469 CWNU_324 113.01169211 -16.93224554 0 0.0
470 CWNU_325 233.84611129 -55.454668 2 0.6324
471 CWNU_326 298.53322087 29.1153083 3 0.4464
472 CWNU_330 106.81097047 -11.96398864 1 0.7204
473 CWNU_331 124.47084788 -39.52053131 0 0.0
474 CWNU_334 89.40206949 19.26483579 4 0.9392
475 CWNU_336 308.3237873 47.08856325 1 0.564
476 CWNU_337 279.15829223 -8.90895379 2 0.6752
477 CWNU_338 124.44272367 -39.32858691 2 0.8432
478 CWNU_339 125.86186168 -42.98492285 0 0.0
479 CWNU_340 106.77489395 -26.39799789 2 0.7324
480 CWNU_346 34.54626404 61.15592012 2 0.8348
481 CWNU_348 328.13495629 64.94553439 1 0.522
482 CWNU_350 76.46566564 45.96860614 1 0.544
483 CWNU_352 223.64189449 -57.60472833 1 0.4084
484 CWNU_354 350.67131183 68.75583219 0 0.0
485 CWNU_356 215.05762538 -61.08103156 1 0.4532
486 CWNU_358 72.97757534 49.07117827 0 0.0
487 CWNU_360 234.53783847 -57.09444945 0 0.0
488 CWNU_361 64.35414678 42.8088615 0 0.0
489 CWNU_362 103.96123459 -13.06996343 3 0.7792
