ID Name NumGS Coverage
542 CWNU_489 1 0.4832
543 CWNU_490 3 0.9408
544 CWNU_495 2 0.8964
545 CWNU_498 0 0.0
546 CWNU_501 0 0.0
547 CWNU_503 4 0.8984
548 CWNU_508 1 0.5968
549 CWNU_509 1 0.2768
550 CWNU_512 0 0.0
551 CWNU_513 0 0.0
552 CWNU_515 3 0.8936
553 CWNU_518 0 0.0
554 CWNU_519 0 0.0
555 CWNU_522 0 0.0
556 CWNU_525 0 0.0
557 CWNU_531 0 0.0
558 CWNU_534 0 0.0
559 CWNU_536 0 0.0
560 CWNU_538 2 0.8964
561 CWNU_1004 1 0.3808
562 CWNU_1007 0 0.0
563 CWNU_1008 4 0.856
564 CWNU_1010 0 0.0
565 CWNU_1012 0 0.0
566 CWNU_1013 0 0.0
567 CWNU_1015 0 0.0
568 CWNU_1018 0 0.0
569 CWNU_1020 1 0.3648
570 CWNU_1024 0 0.0
571 CWNU_1029 0 0.0
572 CWNU_1031 1 0.3956
573 CWNU_1032 3 0.656
574 CWNU_1033 2 0.7996
575 CWNU_1034 1 0.3904
576 CWNU_1042 0 0.0
577 CWNU_1044 2 0.7508
578 CWNU_1053 1 0.6136
579 CWNU_1054 1 0.4812
580 CWNU_1055 1 0.3712
581 CWNU_1057 1 0.5024
582 CWNU_1062 0 0.0
583 CWNU_1064 0 0.0
584 CWNU_1066 0 0.0
585 CWNU_1069 3 0.8804
586 CWNU_1072 0 0.0
587 CWNU_1074 1 0.7668
588 CWNU_1075 3 0.8748
589 CWNU_1076 2 0.7584
590 CWNU_1083 2 0.8336
591 CWNU_1084 1 0.3552
592 CWNU_1086 2 0.3316
593 CWNU_1087 2 0.3644
594 CWNU_1088 0 0.0
595 CWNU_1092 1 0.7832
596 CWNU_1093 1 0.6704
597 CWNU_1095 0 0.0
598 CWNU_1096 2 0.8296
599 CWNU_1106 1 0.4108
600 CWNU_1107 1 0.2724
601 CWNU_1111 0 0.0
602 CWNU_1121 1 0.4092
603 CWNU_1126 1 0.6556
604 CWNU_1129 0 0.0
605 CWNU_1134 2 0.8476
606 CWNU_1137 2 0.6516
607 CWNU_1138 1 0.3864
608 CWNU_1140 0 0.0
609 CWNU_1142 0 0.0
610 CWNU_1143 0 0.0
611 CWNU_1144 2 0.7248
612 CWNU_1145 1 0.5496
613 CWNU_1150 3 0.7572
614 CWNU_1155 0 0.0
615 CWNU_1163 2 0.524
616 CWNU_1169 1 0.492
617 CWNU_1173 1 0.3372
618 CWNU_1178 0 0.0
619 CWNU_1179 0 0.0
620 CWNU_1183 4 0.982
621 CWNU_1190 1 0.314
622 CWNU_1205 1 0.4772
623 CWNU_1216 2 0.8004
624 CWNU_1224 0 0.0
625 CWNU_1227 1 0.3072
626 CWNU_1228 5 0.9108
627 CWNU_1229 0 0.0
628 CWNU_1230 0 0.0
629 CWNU_1240 0 0.0
630 CWNU_1242 0 0.0
631 CWNU_1243 0 0.0
632 CWNU_1252 0 0.0
633 CWNU_1256 0 0.0
634 CWNU_1262 0 0.0
635 CWNU_1265 0 0.0
636 CWNU_1266 0 0.0
637 CWNU_1270 0 0.0
638 CWNU_1271 0 0.0
639 CWNU_1272 4 0.748
640 CWNU_1273 5 0.9328
641 CWNU_1274 3 0.66
642 CWNU_1275 3 0.9784
643 CWNU_1276 1 0.484
644 CWNU_1278 1 0.4884
645 CWNU_1279 1 0.6308
646 CWNU_1280 6 1.0
647 CWNU_1281 2 0.866
648 CWNU_1284 8 1.0
649 CWNU_1285 1 0.3464
650 CWNU_1286 1 0.4948
651 CWNU_1287 7 0.9084
652 CWNU_1290 5 0.9244
653 CWNU_1291 1 0.4468
654 CWNU_1292 3 0.8492
655 CWNU_1294 3 0.8132
656 CWNU_1295 2 0.5032
657 CWNU_1298 1 0.3636
658 CWNU_1299 2 0.8292
659 CWNU_1300 3 0.874
660 CWNU_1303 6 0.9708
661 CWNU_1305 0 0.0
662 CWNU_1308 4 0.9288
663 CWNU_1310 6 0.9884
664 CWNU_1313 1 0.5264
665 CWNU_1315 5 0.78
666 CWNU_1317 5 0.914
667 CWNU_1321 5 0.9472
668 CWNU_1322 2 0.7164
669 CWNU_1331 1 0.6804
670 CWNU_1333 4 0.952
671 CWNU_1334 2 0.7668
672 CWNU_1336 4 0.8472
673 CWNU_1340 4 0.9524
674 CWNU_1342 5 0.884
675 CWNU_1346 0 0.0
676 CWNU_1347 7 1.0
677 CWNU_1352 2 0.762
678 CWNU_1353 0 0.0
679 CWNU_1354 1 0.326
680 CWNU_1355 1 0.6248
681 CWNU_1356 3 0.8596
682 CWNU_1362 6 0.9968
683 CWNU_1372 2 0.8416
684 CWNU_1374 5 0.9932
685 CWNU_1375 3 0.6304
686 CWNU_1376 4 0.9056
687 CWNU_1378 7 0.8724
688 CWNU_1379 2 0.7552
689 CWNU_1382 1 0.6068
690 CWNU_1383 3 0.8784
691 CWNU_1384 1 0.3844
692 CWNU_1387 2 0.8972
693 CWNU_1388 5 0.92
694 CWNU_1389 0 0.0
695 CWNU_1390 6 0.9984
696 CWNU_1391 3 0.9164
697 CWNU_1392 4 0.904
698 CWNU_1394 2 0.75
699 CWNU_1397 5 0.9448
700 CWNU_1398 2 0.7556
701 CWNU_1399 5 0.8916
702 CWNU_1401 0 0.0
703 CWNU_1405 4 0.9264
704 CWNU_1406 2 0.7784
705 CWNU_1409 7 1.0
706 CWNU_1410 2 0.838
707 CWNU_1415 4 0.952
708 CWNU_1416 2 0.5752
709 CWNU_1421 2 0.8288
710 CWNU_1422 0 0.0
711 CWNU_1423 4 0.9664
712 CWNU_1425 1 0.6464
713 CWNU_1427 1 0.5324
714 CWNU_1429 0 0.0
715 CWNU_1430 2 0.874
716 CWNU_1431 2 0.7404
717 CWNU_1434 7 0.9308
718 CWNU_1435 3 0.8896
719 CWNU_1436 3 0.8076
720 CWNU_1437 6 0.8368
721 CWNU_1438 1 0.5948
722 CWNU_1439 9 1.0
723 CWNU_1440 4 0.7792
724 CWNU_1441 3 0.8376
725 CWNU_1442 5 0.9856
726 CWNU_1443 0 0.0
727 CWNU_1445 0 0.0
728 CWNU_1446 3 0.9328
729 CWNU_1447 3 0.744
730 CWNU_1449 2 0.8144
731 CWNU_1451 1 0.5016
732 CWNU_1454 1 0.3968
733 CWNU_1455 1 0.2992
734 CWNU_1458 2 0.7544
